lambda_e,eta_r,sample_type,eta50,beta50,pf50,qservice_max_beta3
0.0376949806949807,0.34359073359073355,prior,0.43568439154697425,1.2506469012903179,0.10553166550521814,554.3399719025158
0.018583011583011587,0.0683011583011583,prior,0.4164743277024163,1.2114592291684552,0.11285972562888757,548.3545985457637
0.03272586872586873,0.25980694980694985,prior,0.39418779607605114,1.1654561366602576,0.12191720273585854,541.4106751059336
0.04533976833976835,0.21911196911196912,prior,0.2948493512825629,0.9529593772679453,0.1703053267054126,510.45931098870415
0.017054054054054055,0.16405405405405404,prior,0.4990724073560672,1.3770182126046062,0.08425330853682073,574.0900853863192
0.01093822393822394,0.2741698841698842,prior,0.6652961895971099,1.6888093798149455,0.045627982866534134,625.8812405607439
0.03960617760617761,0.4776447876447877,prior,0.5428423701945858,1.4617662659003232,0.07190263562487892,587.7277063499746
0.012084942084942086,0.1472972972972973,prior,0.5859628605793247,1.5433553179701713,0.061372294298399466,601.1629680111178
0.08662162162162163,0.3244401544401544,prior,0.33266834326515565,1.0353400584593915,0.1502550641616957,522.2427589159716
0.029667953667953672,0.35555984555984554,prior,0.49041784411663153,1.3600229178671084,0.08691133582887672,571.3935408747132
0.01590733590733591,0.16884169884169883,prior,0.5214687634513743,1.4206308918658612,0.0777120464308001,581.0682273719931
0.007498069498069498,0.4201930501930502,prior,0.7843588360655172,1.8966649111000595,0.028936088791848502,662.978170468048
0.03616602316602317,0.3962548262548262,prior,0.4870315991201856,1.3533513800825998,0.0879717010546433,570.3384719928414
0.024698841698841702,0.24065637065637066,prior,0.44697010485954214,1.2734724195870724,0.10142522672848941,557.8563166851035
0.020494208494208497,0.29810810810810806,prior,0.5320723552018656,1.4410970238663916,0.07477863711686161,584.3720402100355
0.04457528957528958,0.3244401544401544,prior,0.39178878186545757,1.1604690420746309,0.12292894547959765,540.6632025387029
0.03578378378378379,0.17602316602316603,prior,0.3053512876818971,0.9760248115378125,0.1645260845153539,513.7314505728049
0.08203474903474904,0.4776447876447877,prior,0.48545938796063265,1.3502496327796936,0.08846796124754791,569.8486104878657
0.07324324324324324,0.3507722007722007,prior,0.3661585340032249,1.106754130492573,0.13420012245092344,532.6774611105182
0.03693050193050194,0.4584942084942085,prior,0.5360462044008468,1.4487372094251767,0.07370549246400371,585.6101918013991
0.05145559845559846,0.20474903474903475,prior,0.2616288822816415,0.8790112719079188,0.18969758209341153,500.108647312318
0.02928571428571429,0.19277992277992279,prior,0.3678818454739471,1.1103909545999138,0.13341529715997053,533.2144016769686
0.08776833976833978,0.40583011583011586,prior,0.41258890999903214,1.2034811619051113,0.11439508846647845,547.1439999871193
0.03998841698841699,0.3411969111969112,prior,0.42363718116229854,1.22612091570119,0.11007658802024128,550.5863637602893
0.012467181467181468,0.1449034749034749,prior,0.5765483077135036,1.5256985655044495,0.06354247596988788,598.2296298220944
0.02431660231660232,0.2262934362934363,prior,0.4408462435300202,1.2611047351105087,0.10363555742376085,555.9482753199756
0.023552123552123556,0.42737451737451737,prior,0.588351104935517,1.5478207093278669,0.06083273450684551,601.9070849622447
0.07974131274131276,0.38428571428571434,prior,0.394782021675293,1.166690354809218,0.12166771966684176,541.5958208763162
0.03310810810810811,0.23108108108108108,prior,0.36840509200016003,1.111494473387041,0.13317778380048012,533.3774321511174
0.04648648648648649,0.14011583011583012,prior,0.21936262057296319,0.7826831969771885,0.21690658594572648,486.939541849282
0.05527799227799229,0.1472972972972973,prior,0.19790403877719262,0.732775634425004,0.23184764227621074,480.25358677940983
0.037312741312741315,0.3028957528957529,prior,0.4030659128743668,1.1838523555820653,0.11823575650158669,544.1768732910492
0.02087644787644788,0.12096525096525096,prior,0.4128735408629944,1.2040662035598482,0.11428199563680991,547.2326838146929
0.014378378378378378,0.3794980694980695,prior,0.6574915422914971,1.674757059858401,0.04699095351041993,623.4495085050955
0.01896525096525097,0.17362934362934362,prior,0.4744058568095678,1.3283670353108812,0.09202844200846977,566.4046078346232
0.01896525096525097,0.4297683397683397,prior,0.6313131348046607,1.6272191485029541,0.05184528114521614,615.2929743070949
0.03960617760617761,0.5614285714285715,prior,0.6150617634165696,1.597389863002705,0.05508941533312145,610.2294552004408
0.056806949806949815,0.31007722007722005,prior,0.34745214497765814,1.0670391681291873,0.1429770746764134,526.8490201755659
0.03654826254826255,0.2861389961389962,prior,0.39290714694404677,1.162794767845055,0.12245639024776944,541.0116570050011
0.02431660231660232,0.26459459459459456,prior,0.4677924944059389,1.3152108994333442,0.094219516533457,564.3440502305713
0.03272586872586873,0.187992277992278,prior,0.33635546785393516,1.0432720050478865,0.14841116647333052,523.391574321026
0.05107335907335908,0.3986486486486487,prior,0.441541462967957,1.2625109269031982,0.10338249846817321,556.1648882336334
0.023552123552123556,0.17123552123552124,prior,0.41110681047202857,1.200433262035932,0.1149855586461147,546.6822150033336
