sample_type,time_year,eta_mean,eta_ci95_low,eta_median,eta_ci95_high,beta_mean,beta_ci95_low,beta_median,beta_ci95_high,pf_mean,pf_ci95_low,pf_median,pf_ci95_high,qservice_max_beta3_mean,qservice_max_beta3_ci95_low,qservice_max_beta3_median,qservice_max_beta3_ci95_high
prior,42.0,0.47754257782166765,0.19905968751866424,0.48095316965128554,0.7401004878278348,1.323420902042835,0.7354810507766365,1.3413447145380548,1.8207907580285891,0.10169483250118287,0.034318193981645935,0.08990052805056743,0.23098297409511453,567.3819313107608,480.6136578985346,568.4445860542812,649.1883808817564
prior,43.0,0.4726008278769505,0.19526885169813626,0.4756417398969405,0.7364029699769232,1.3135631974713677,0.7265989704503599,1.3308203014147029,1.8143791523193151,0.10341604818672993,0.03480953359921475,0.09162383965393507,0.2337320651285661,565.8422061597056,479.4325286787878,566.7896779605259,648.0363271972899
prior,44.0,0.46780619296454024,0.1916150143136309,0.47047203044270697,0.732488625988286,1.3039786498941923,0.7180171486537533,1.3205471503202935,1.8075791311569125,0.10510533102975769,0.035334173649998454,0.09332315491793901,0.23635658766787898,564.3483183573378,478.29408473044464,565.1789263524157,646.8167159347594
prior,45.0,0.4631533482945744,0.1882369155075581,0.4653176453449322,0.7287741359867879,1.2946583719067164,0.7100647661210554,1.3102752617320048,1.8011144304765143,0.10676295251547242,0.0358359141183113,0.09504979479117111,0.23882221344236731,562.8986088328892,477.24155399686913,563.572949428846,645.6593741544931
prior,46.0,0.4586371980881329,0.18496353658823503,0.4605089717702055,0.7250311606910096,1.2855938004701495,0.7023421554047615,1.3006658961308526,1.794588421795002,0.10838921876148487,0.03635831719392121,0.09668516795981077,0.24122459225269502,561.4914898696494,476.22165134954815,562.0746875319372,644.4931570720507
prior,47.0,0.4542528641666884,0.18171608321545504,0.45569722236616833,0.7213292785218911,1.276776684668445,0.6946643483213056,1.2910247103749801,1.7881224349082023,0.1099844660615852,0.036872750087154876,0.09833782547242388,0.24360804145687243,560.125441549724,475.20982645130664,560.5754672838768,643.3397435756581
prior,48.0,0.4499956751833971,0.1788187260909834,0.45117035732271943,0.7177505118800123,1.2681990738477769,0.6878004461721057,1.281930771551058,1.7818604607645503,0.11154905685520522,0.03738372954497267,0.09992738880104114,0.24578667982324348,558.7990083987759,474.30708274997727,559.1650098465714,642.2246897850168
prior,49.0,0.4458611564564436,0.17588923100594842,0.446722942675675,0.7142333267912968,1.2598533061417405,0.6808471133441124,1.2729740731860562,1.7756956371933121,0.11308337608507095,0.037891225324041315,0.1015087147641954,0.2479523216240498,557.510796218351,473.39432566740925,557.7793071570725,641.1288232594754
prior,50.0,0.4418450203673135,0.17310743503600054,0.4423810918994552,0.7106500009204259,1.2517319973826906,0.674231932329411,1.2642084798894866,1.7694040378438414,0.11458782790854448,0.03841230044840002,0.1030773580980563,0.2500741026421517,556.2594690942207,472.52758791905126,556.4264955180657,640.0123489276034
posterior,0.0,0.95,0.95,0.95,0.95,2.1672667911067265,2.1672667911067265,2.1672667911067265,2.1672667911067265,0.015107258569036388,0.015107258569036386,0.015107258569036386,0.015107258569036386,714.5877964129263,714.5877964129262,714.5877964129262,714.5877964129262
