time_year,scenario,S_chem,S_flow,S_WD,S_env,E_env,eta_eff,qu,FS,beta,pf,pf_life
13.0,F,0.38,0.42,0.3250000000000003,0.38300000000000006,4.978999999999997,0.8328126108001134,933.3608911833577,0.9824851486140608,-0.15015424831679702,0.5596785394388855,0.6480833333333333
13.25,F,0.38,0.42,0.4,0.398,5.076624999999997,0.8312216679402749,933.1323518759366,0.9822445809220385,-0.15175855178436265,0.5603113128573893,0.6480833333333333
13.5,F,0.38,0.42,0.3250000000000005,0.3830000000000001,5.174249999999997,0.8296350679843756,932.903780087817,0.9820039790398074,-0.15336347631235114,0.5609441771059303,0.6480833333333333
13.75,F,0.38,0.42,0.25,0.368,5.268124999999997,0.8281134978078286,932.6839624469302,0.9817725920494002,-0.1549073042654806,0.5615528024048438,0.6480833333333333
14.0,F,0.38,0.42,0.32499999999999973,0.38299999999999995,5.3619999999999965,0.8265959218268196,932.4641241034493,0.9815411832667887,-0.15645164156562605,0.5621614828966597,0.6480833333333333
14.25,F,0.38,0.42,0.4,0.398,5.459624999999996,0.8250219490818184,932.2354868162014,0.9813005124381067,-0.1580581766551951,0.562794521768557,0.6480833333333333
14.5,F,0.38,0.42,0.325,0.383,5.557249999999996,0.8234522729162903,932.0068370231994,0.981059828445473,-0.15966519371193147,0.5634275897576473,0.6480833333333333
14.75,F,0.38,0.42,0.25,0.368,5.651124999999996,0.8219469328767778,931.7869630173205,0.9808283821234953,-0.16121090387825573,0.564036353302462,0.6480833333333333
15.0,F,0.38,0.42,0.3249999999999992,0.38299999999999984,5.744999999999996,0.820445544427906,931.5670864000032,0.980596933052635,-0.1627569971941054,0.5646451160146111,0.6480833333333333
15.25,F,0.38,0.42,0.4,0.398,5.8426249999999955,0.8188883607825687,931.3384283026228,0.9803562403185503,-0.164365225843524,0.5652781815054626,0.6480833333333333
15.5,F,0.38,0.42,0.32500000000000057,0.3830000000000001,5.940249999999995,0.8173354278863677,931.1097768622582,0.9801155545918507,-0.16597380254835928,0.565911216630528,0.6480833333333333
15.75,F,0.38,0.42,0.25,0.368,6.034124999999995,0.8158461448618395,930.889919156398,0.9798841254277874,-0.16752088736308327,0.566519892995273,0.6480833333333333
16.0,F,0.38,0.42,0.32499999999999973,0.38299999999999995,6.127999999999995,0.8143607712775086,930.6700761919573,0.9796527117810077,-0.169068233843151,0.5671285145384777,0.6480833333333333
16.25,F,0.38,0.42,0.4,0.398,6.225624999999995,0.8128201976474969,930.4414713078698,0.9794120750609157,-0.17067763807268252,0.5677613764825504,0.6480833333333333
16.5,F,0.38,0.42,0.325,0.383,6.3232499999999945,0.8112838294251434,930.2128914585991,0.9791714646932622,-0.17228726146058257,0.5683941507536341,0.6480833333333333
16.75,F,0.38,0.42,0.25,0.368,6.417124999999994,0.8098104321401911,929.9931197439636,0.9789401260462774,-0.1738352323535442,0.5690025227453341,0.6480833333333333
17.0,F,0.38,0.42,0.32500000000000023,0.38300000000000006,6.510999999999994,0.8083409025945989,929.7733794100578,0.9787088204316399,-0.17538334798933697,0.5696107879138748,0.6480833333333333
17.25,F,0.38,0.42,0.4,0.398,6.608624999999994,0.806816761805814,929.5448987218692,0.9784683144440729,-0.1769934292554761,0.570243224603766,0.6480833333333333
17.5,F,0.38,0.42,0.32500000000000057,0.3830000000000001,6.706249999999994,0.8052967815668531,929.3164606876637,0.9782278533554355,-0.17860360563640443,0.5708755184363826,0.6480833333333333
17.75,F,0.38,0.42,0.25,0.368,6.800124999999993,0.803839100573012,929.0968417814009,0.9779966755593694,-0.18015199242128166,0.5714833768950943,0.6480833333333333
18.0,F,0.38,0.42,0.3249999999999997,0.38299999999999995,6.893999999999993,0.8023852460625044,928.877270205587,0.9777655475848285,-0.18170041144158006,0.5720910784679576,0.6480833333333333
18.25,F,0.38,0.42,0.4,0.398,6.991624999999993,0.8008773628307109,928.6489817571568,0.9775252439549019,-0.1833106900124368,0.5727228764489489,0.6480833333333333
18.5,F,0.38,0.42,0.32500000000000007,0.383,7.089249999999993,0.7993735957693925,928.4207528487321,0.9772850029986654,-0.18492094435211928,0.5733544784596061,0.6480833333333333
18.75,F,0.38,0.42,0.25,0.368,7.183124999999992,0.7979314634256545,928.201350790484,0.9770540534636674,-0.18646929463599213,0.5739616220628715,0.6480833333333333
19.0,F,0.38,0.42,0.3249999999999991,0.38299999999999984,7.276999999999992,0.796493116749289,927.9820113460027,0.9768231698378975,-0.1880175689212713,0.5745685606092423,0.6480833333333333
19.25,F,0.38,0.42,0.4,0.398,7.374624999999992,0.7950013176599564,927.7539803412478,0.9765831372013135,-0.1896275832727275,0.5751995144781171,0.6480833333333333
19.5,F,0.38,0.42,0.3250000000000006,0.3830000000000001,7.472249999999992,0.7935135908351313,927.5260250540515,0.9763431842674226,-0.19123745859397084,0.5758302212842257,0.6480833333333333
19.75,F,0.38,0.42,0.25,0.368,7.5661249999999916,0.792086841288665,927.3069011994138,0.9761125275783303,-0.19278533720646096,0.576436456355687,0.6480833333333333
20.0,F,0.38,0.42,0.3249999999999996,0.38299999999999995,7.659999999999991,0.7906638370289821,927.0878545979062,0.9758819522083224,-0.19433303572272345,0.5770424400445507,0.6480833333333333
20.25,F,0.38,0.42,0.4,0.398,7.757624999999991,0.7891879505173411,926.8601434964398,0.9756422563120419,-0.19594234195456703,0.5776723522526184,0.6480833333333333
20.5,F,0.38,0.42,0.3250000000000012,0.38300000000000023,7.855249999999991,0.7877160928325719,926.632523605499,0.9754026564268411,-0.19755139875836786,0.5783019682765539,0.6480833333333333
20.75,F,0.38,0.42,0.25,0.368,7.949124999999991,0.7863045619996489,926.4137367164864,0.9751723544384067,-0.19909838719962766,0.5789071085985047,0.6480833333333333
21.0,F,0.38,0.42,0.3250000000000002,0.38300000000000006,8.04299999999999,0.7848967365036479,926.1950410977396,0.9749421485239365,-0.2006450954509083,0.5795119530121338,0.6480833333333333
21.25,F,0.38,0.42,0.4,0.398,8.140624999999991,0.7834365928349597,925.9677097074447,0.974702852323626,-0.20225326672220617,0.5801406336722413,0.6480833333333333
21.5,F,0.38,0.42,0.3250000000000007,0.3830000000000001,8.238249999999992,0.7819804350188441,925.7404843591748,0.9744636677464998,-0.20386108242790513,0.5807689709493368,0.6480833333333333
21.75,F,0.38,0.42,0.25,0.368,8.332124999999992,0.7805839605659682,925.5220906917864,0.9742337796755646,-0.20540677833475862,0.5813728375790095,0.6480833333333333
