lambda_per_year,c_b0_kpa,H_over_B,q_service_kpa,eta_50yr,q_u_50yr_kpa,FS_50yr,serviceability_index_50yr,safe_ultimate_FS_ge_1_5,safe_service_index_le_0_045
0.06,16,0.75,650,0.23982965469429118,1104.017261130899,1.6984880940475369,0.06056870154325132,1,0
0.06,16,0.75,800,0.23982965469429118,1104.017261130899,1.3800215764136237,0.07454609420707856,0,0
0.06,16,0.75,950,0.23982965469429118,1104.017261130899,1.1621234327693672,0.08852348687090578,0,0
0.06,16,0.75,1100,0.23982965469429118,1104.017261130899,1.0036520555735446,0.102500879534733,0,0
0.06,16,1.25,650,0.23982965469429118,1142.0371697357803,1.7569802611319696,0.05382103044513955,1,0
0.06,16,1.25,800,0.23982965469429118,1142.0371697357803,1.4275464621697254,0.06624126824017176,0,0
0.06,16,1.25,950,0.23982965469429118,1142.0371697357803,1.202144389195558,0.07866150603520397,0,0
0.06,16,1.25,1100,0.23982965469429118,1142.0371697357803,1.0382156088507093,0.09108174383023616,0,0
0.06,16,1.75,650,0.23982965469429118,1160.6494988904176,1.7856146136775655,0.05128825231150753,1,0
0.06,16,1.75,800,0.23982965469429118,1160.6494988904176,1.450811873613022,0.06312400284493233,0,0
0.06,16,1.75,950,0.23982965469429118,1160.6494988904176,1.2217363146214921,0.07495975337835716,0,0
0.06,16,1.75,1100,0.23982965469429118,1160.6494988904176,1.0551359080821978,0.08679550391178197,0,0
0.06,22,0.35,650,0.23982965469429118,1063.695373028395,1.6364544200436844,0.07461178562592372,1,0
0.06,22,0.35,800,0.23982965469429118,1063.695373028395,1.3296192162854936,0.09182989000113688,0,0
0.06,22,0.35,950,0.23982965469429118,1063.695373028395,1.1196793400298894,0.10904799437635004,0,0
0.06,22,0.35,1100,0.23982965469429118,1063.695373028395,0.9669957936621771,0.1262660987515632,0,0
0.06,22,0.75,650,0.23982965469429118,1132.5716895430296,1.7424179839123533,0.05904164178341369,1,0
0.06,22,0.75,800,0.23982965469429118,1132.5716895430296,1.4157146119287871,0.07266663604112454,0,0
0.06,22,0.75,950,0.23982965469429118,1132.5716895430296,1.192180725834768,0.08629163029883538,0,0
0.06,22,0.75,1100,0.23982965469429118,1132.5716895430296,1.0296106268572995,0.09991662455654625,0,0
0.06,22,1.25,650,0.23982965469429118,1178.184975038498,1.8125922692899967,0.05216975142619012,1,0
0.06,22,1.25,800,0.23982965469429118,1178.184975038498,1.4727312187981223,0.06420892483223398,0,0
0.06,22,1.25,950,0.23982965469429118,1178.184975038498,1.2401947105668398,0.07624809823827786,0,0
0.06,22,1.25,1100,0.23982965469429118,1178.184975038498,1.071077250034998,0.08828727164432172,0,0
0.06,22,1.75,650,0.23982965469429118,1200.5145785177945,1.8469455054119914,0.04958514074673869,1,0
0.06,22,1.75,800,0.23982965469429118,1200.5145785177945,1.500643223147243,0.061027865534447626,1,0
0.06,22,1.75,950,0.23982965469429118,1200.5145785177945,1.2636995563345206,0.07247059032215655,0,0
0.06,22,1.75,1100,0.23982965469429118,1200.5145785177945,1.0913768895616314,0.08391331510986547,0,0
0.06,30,0.35,650,0.23982965469429118,1086.479888744951,1.6715075211460786,0.07304710557998387,1,0
0.06,30,0.35,800,0.23982965469429118,1086.479888744951,1.3580998609311887,0.08990412994459551,0,0
0.06,30,0.35,950,0.23982965469429118,1086.479888744951,1.143663040784159,0.10676115430920718,0,0
0.06,30,0.35,1100,0.23982965469429118,1086.479888744951,0.9877089897681373,0.12361817867381883,0,0
0.06,30,0.75,650,0.23982965469429118,1170.6442607592037,1.8009911703987749,0.0571214451986194,1,0
0.06,30,0.75,800,0.23982965469429118,1170.6442607592037,1.4633053259490045,0.07030331716753158,0,0
0.06,30,0.75,950,0.23982965469429118,1170.6442607592037,1.2322571165886356,0.08348518913644375,0,0
0.06,30,0.75,1100,0.23982965469429118,1170.6442607592037,1.0642220552356396,0.0966670611053559,0,0
0.06,30,1.25,650,0.23982965469429118,1226.3820487754545,1.8867416135006991,0.05011946916803292,1,0
0.06,30,1.25,800,0.23982965469429118,1226.3820487754545,1.5329775609693181,0.061685500514502056,1,0
0.06,30,1.25,950,0.23982965469429118,1226.3820487754545,1.2909284723952152,0.07325153186097119,0,0
0.06,30,1.25,1100,0.23982965469429118,1226.3820487754545,1.1148927716140495,0.08481756320744033,0,0
0.06,30,1.75,650,0.23982965469429118,1253.6680180209635,1.928720027724559,0.047482813223780514,1,0
0.06,30,1.75,800,0.23982965469429118,1253.6680180209635,1.5670850225262043,0.058440385506191406,1,0
0.06,30,1.75,950,0.23982965469429118,1253.6680180209635,1.3196505452852247,0.0693979577886023,0,0
0.06,30,1.75,1100,0.23982965469429118,1253.6680180209635,1.1396981982008758,0.08035553007101318,0,0
